CarNumber,Refund,Fines,make,model,Year
Y163O8161RUS,2,3200.0,Ford,Focus,1989
E432XX77RUS,1,6500.0,Toyota,Camry,1995
7184TT36RUS,1,2100.0,Ford,Focus,1984
X582HE161RUS,2,2000.0,Ford,Focus,2015
92918M178RUS,1,5700.0,Ford,Focus,2014
H234YH197RUS,2,6000.0,Ford,Focus,1990
707987163RUS,2,2200.0,Ford,Focus,1988
K330T8197RUS,2,8200.0,Skoda,Octavia,2016
C477M7161RUS,1,2500.0,Ford,Focus,2018
O21997197RUS,1,2000.0,Ford,Focus,2000
9020YC197RUS,2,145000.0,Skoda,Octavia,2000
8182XX154RUS,1,200.0,Ford,Focus,1992
7066C8197RUS,2,15000.0,Volkswagen,Passat,1985
8440XX154RUS,1,6200.0,Ford,Focus,2018
9182CE154RUS,2,19800.0,Ford,Focus,2017
C922YE197RUS,2,3800.0,Volkswagen,Golf,1998
M5039X197RUS,2,7400.0,Volkswagen,Volkswagen,1986
8603T8154RUS,1,1500.0,Ford,Focus,2014
O672E8197RUS,2,63300.0,Skoda,Octavia,1985
E42277152RUS,2,10600.0,Ford,Focus,1996
C903MC161RUS,1,1600.0,Volkswagen,Jetta,2015
T7318T163RUS,2,12000.0,Toyota,Camry,2007
Y7719C197RUS,1,9200.0,Ford,Focus,2013
T011MY163RUS,1,2000.0,Ford,Focus,1992
H115YO163RUS,1,2200.0,Ford,Focus,1998
73467Y96RUS,1,800.0,Ford,Focus,1995
H968HY161RUS,1,2400.0,Ford,Focus,1986
Y654E8750RUS,1,500.0,Skoda,Octavia,2000
H963HY161RUS,2,2800.0,Ford,Focus,2006
H232YH197RUS,2,8600.0,Ford,Focus,2008
7843C8197RUS,2,12300.0,Ford,Focus,1989
X791O796RUS,1,500.0,Ford,Focus,1996
H958HY161RUS,1,1800.0,Ford,Focus,1980
708587163RUS,2,1400.0,Ford,Focus,1985
97977H178RUS,1,1000.0,Ford,Focus,1985
H917TC36RUS,2,4000.0,Ford,Focus,2015
X786CO96RUS,1,1000.0,Ford,Focus,1984
Y7709C197RUS,1,500.0,Ford,Focus,1992
8513XX154RUS,1,1500.0,Ford,Focus,2010
T870X7163RUS,2,2000.0,Skoda,Octavia,2010
8818C877RUS,1,2500.0,Volkswagen,Passat,1992
K327T8197RUS,2,20800.0,Volkswagen,Golf,2018
8311XX154RUS,2,8600.0,Ford,Focus,2005
X423MK197RUS,2,14300.0,Ford,Focus,2012
96429X178RUS,1,2600.0,Ford,Focus,2006
O275O7161RUS,2,16600.0,Ford,Focus,2012
7789KT197RUS,2,12600.0,Ford,Focus,2005
E28877161RUS,1,1000.0,Ford,Focus,1995
T6068M116RUS,1,1000.0,Ford,Focus,1982
9498KX178RUS,2,1600.0,Ford,Focus,1987
99209X178RUS,1,500.0,Skoda,Octavia,2013
9683EC178RUS,2,26000.0,Ford,Focus,1988
Y353O8197RUS,2,21800.0,Ford,Focus,2010
O719MM163RUS,2,2300.0,Ford,Focus,2004
E535MM199RUS,1,500.0,Volkswagen,Touareg,2005
Y352O8197RUS,2,103600.0,Ford,Focus,1980
7788KT197RUS,2,12000.0,Ford,Focus,2005
E807HE77RUS,2,4500.0,Ford,Focus,2008
M516CH161RUS,1,1000.0,Ford,Focus,1994
7781KT197RUS,2,600.0,Ford,Focus,1985
E645TH36RUS,1,2400.0,Ford,Focus,1998
Y302E877RUS,1,500.0,Ford,Focus,2012
M058XE36RUS,2,8500.0,Skoda,Octavia,1984
7830C8197RUS,1,5100.0,Ford,Focus,2014
8166XX154RUS,1,2400.0,Ford,Focus,2012
M589CH197RUS,2,7900.0,Volkswagen,Volkswagen,1996
9408H7178RUS,1,1000.0,Skoda,Octavia,2015
H387TM197RUS,2,1600.0,Volkswagen,Passat,1981
8049HT125RUS,1,500.0,Ford,Focus,1981
9698MO178RUS,2,18400.0,Volkswagen,Golf,2007
8685HE154RUS,1,1000.0,Ford,Focus,2013
7177TT36RUS,1,1000.0,Ford,Focus,2012
O77997197RUS,1,22400.0,Ford,Focus,2011
97987H178RUS,2,5000.0,Ford,Focus,1982
X257HE161RUS,2,10000.0,Ford,Focus,2002
T399KX197RUS,2,10200.0,Ford,Focus,1990
H957HY161RUS,1,2000.0,Ford,Focus,2009
K379HY161RUS,1,200.0,Volkswagen,Golf,2005
T654HT96RUS,1,4000.0,Toyota,Corolla,1997
8439XX154RUS,2,4600.0,Ford,Focus,1983
Y965EE197RUS,2,9600.0,Ford,Focus,1981
X758HY197RUS,2,24200.0,Ford,Focus,1981
M0279X197RUS,2,180000.0,Ford,Focus,1995
